id,set,human_score,sentence_count,word_count,avg_word_length,misspell_words,char_4,char_6,char_8,char_10,char_12,mean_char,std_char,word_10,word_18,word_25,mean_word,std_word,pos_conj,pos_misc,pos_adj,pos_noun,pos_prep,pos_adv,pos_vrb,pos_wh,beauty_score,vocabulory_score,maturity_score,bag_of_words_score
5979,3,2,13,176,46.3068181818,22,65,38,20,9,3,4.63068181818,2.82134144202,9,4,0,13.6153846154,8.68720067808,33,1,4,24,9,5,13,1,3.56454580286,51,5.90843137255,8.53417942285
5980,3,1,8,95,43.4736842105,4,33,16,9,0,0,4.34736842105,2.26804077533,5,2,0,11.875,6.82710590221,16,0,2,16,6,5,7,2,1.50774122724,34,5.755,0
5981,3,1,3,86,39.7674418605,9,23,12,5,2,1,3.97674418605,2.32113939661,2,2,1,28.6666666667,25.5255862921,7,0,3,7,2,2,1,1,1.30928225335,21,5.77523809524,0
5982,3,2,5,133,43.6090225564,16,56,28,4,1,1,4.36090225564,2.15089250631,4,2,1,26.8,27.6795953728,13,0,2,11,0,2,3,0,1.99494858044,38,5.61157894737,0
5983,3,1,6,70,43.2857142857,3,26,15,1,0,0,4.32857142857,2.09707476435,4,1,0,11.8333333333,7.47031161034,24,0,5,19,5,4,14,0,1.04021060298,24,6.57833333333,1.90417177738
5984,3,1,5,43,37.9069767442,0,12,5,2,0,0,3.79069767442,2.11072250702,2,0,0,8.6,5.4258639865,15,0,3,10,4,0,9,1,0.771516947633,16,5.888125,1.90417177738
5985,3,0,9,111,38.2882882883,8,36,14,0,0,0,3.82882882883,1.79835214407,6,1,0,12.3333333333,5.84997625826,19,1,2,13,7,3,10,0,2.49751352887,32,5.6790625,0
5986,3,2,8,92,47.2826086957,10,40,24,8,1,0,4.72826086957,2.35853959689,6,0,0,11.625,5.47579902845,10,0,2,7,8,4,8,2,1.14933960956,30,5.75466666667,0
5987,3,3,10,149,49.7315436242,15,75,38,18,3,1,4.97315436242,2.54936745924,8,3,1,15.0,7.91201617794,14,0,6,14,3,6,8,1,2.10781258753,56,6.14017857143,5.03166663919
5988,3,3,13,175,44.9142857143,20,69,41,13,3,0,4.49142857143,2.39939784455,8,3,1,13.8461538462,8.16037474485,19,2,1,14,9,3,12,3,5.66270857838,60,5.669,4.76042944345
5989,3,1,6,95,40.0,0,28,14,1,0,0,4.0,1.85081925506,5,3,1,15.8333333333,10.6835803404,31,0,6,15,10,11,13,1,1.16913236606,35,5.42714285714,0.917492313324
5990,3,3,9,137,46.0583941606,9,63,22,5,1,0,4.60583941606,2.0196012428,7,3,1,15.3333333333,9.28559218479,23,1,9,20,2,8,10,2,2.07669284154,63,5.33904761905,0
5991,3,2,6,84,44.880952381,1,30,22,3,1,0,4.4880952381,2.20346959495,5,2,0,14.0,7.68114574787,31,0,4,23,6,6,9,3,0.769440603296,27,6.04518518519,1.52915385554
5992,3,1,4,69,49.1304347826,11,30,22,4,1,1,4.91304347826,2.66645352942,3,2,1,18.0,11.3357840488,7,0,2,4,3,1,6,0,1.39894919675,21,5.89952380952,2.85625766607
5993,3,2,8,126,42.0634920635,5,50,21,4,0,0,4.20634920635,1.96903005693,6,3,1,15.75,8.5695682505,50,1,4,39,6,2,15,1,2.03980152524,48,6.12979166667,1.22332308443
5994,3,2,6,105,45.5238095238,4,47,24,5,3,1,4.55238095238,2.40983941526,6,2,0,17.5,4.1932485418,34,0,4,40,8,3,11,2,1.6260821852,46,6.42347826087,1.90417177738
5995,3,2,10,105,44.5714285714,4,43,21,8,1,0,4.45714285714,2.44173870676,5,2,0,10.5,5.81807528312,36,0,9,22,9,7,18,1,1.75077110321,27,6.38444444444,0
5996,3,1,6,91,44.2857142857,6,37,21,3,0,0,4.42857142857,2.13511830087,5,2,1,15.1666666667,7.96694560181,19,1,2,10,5,2,4,0,1.91344579103,30,6.14433333333,0.917492313324
5997,3,2,8,90,46.6666666667,10,43,22,2,1,0,4.66666666667,2.16197994981,6,0,0,11.25,4.86698058348,19,0,1,20,2,0,3,1,1.43852538512,31,6.04935483871,0.917492313324
5998,3,2,3,52,43.4615384615,3,19,11,2,2,0,4.34615384615,2.35883500146,2,2,1,17.3333333333,12.9185482501,10,0,0,9,0,0,2,0,0.879302946576,21,5.73047619048,0.611661542216
5999,3,1,2,34,37.9411764706,0,10,4,0,0,0,3.79411764706,1.8386327556,1,1,1,17.0,17.0,13,0,1,10,2,1,5,0,0.564207478408,14,5.33571428571,0
6000,3,2,8,126,48.9682539683,7,61,29,12,3,1,4.89682539683,2.41935318655,7,3,1,15.875,5.57757787933,20,1,2,19,8,4,16,2,1.21291745925,52,5.85153846154,3.80834355476
6001,3,1,4,62,40.3225806452,4,19,10,4,0,0,4.03225806452,2.15747075611,3,2,0,15.5,9.39414711403,15,0,1,13,3,1,5,1,1.08300738606,23,5.24434782609,0
6002,3,2,7,115,40.4347826087,4,33,15,6,2,0,4.04347826087,2.18202909089,6,3,0,16.4285714286,7.92567514667,33,0,7,22,4,8,12,1,1.8825458662,40,5.2235,4.72583586809
6003,3,3,9,184,44.0217391304,6,74,36,12,3,0,4.40217391304,2.28590254375,8,5,3,20.4444444444,10.4998530266,38,0,7,32,8,9,18,4,2.38963275463,69,5.51057971014,0.917492313324
6004,3,1,2,40,37.75,1,10,4,1,0,0,3.775,1.77572664794,1,1,1,20.0,20.0,14,0,1,4,6,5,6,0,0.527688028501,14,5.69714285714,0
