id,set,human_score,sentence_count,word_count,avg_word_length,misspell_words,char_4,char_6,char_8,char_10,char_12,mean_char,std_char,word_10,word_18,word_25,mean_word,std_word,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30,pos_31,pos_32,pos_33,pos_34,pos_35,beauty_score,vocabulory_score,maturity_score,bag_of_words_score
11828,5,2,8,167,43.1137724551,6,65,29,10,0,0,4.31137724551,2.19227612262,7,5,3,20.875,10.3251815965,6,10,0,20,2,8,0,0,1,0,0,0,0,0,9,2,0,15,14,10,0,13,10,10,0,0,8,4,1,3,6,0,0,0,6,2.93197178002,65,6.12692307692,5.94560657405
11829,5,3,7,109,47.0642201835,9,47,26,7,1,0,4.70642201835,2.29452953418,5,3,1,15.5714285714,8.54997314711,4,19,0,14,0,4,0,0,2,0,0,0,0,0,6,2,0,24,8,7,0,2,2,4,0,0,6,0,2,1,4,0,0,0,0,1.46296429624,43,5.48627906977,0
11830,5,0,4,71,44.6478873239,12,35,9,1,0,0,4.46478873239,1.73065624148,2,1,1,17.75,17.2681064393,7,9,0,6,2,1,0,0,3,0,0,0,0,0,5,0,0,10,4,4,0,1,3,2,0,0,3,2,1,2,3,0,1,0,2,1.01878949287,30,5.63366666667,0
11831,5,3,9,127,42.8346456693,7,45,24,7,1,0,4.28346456693,2.21071574201,7,3,0,14.1111111111,6.41949192251,8,9,0,16,0,5,0,0,0,0,0,0,1,0,8,0,0,17,8,6,0,9,9,7,0,0,10,2,2,0,7,1,0,0,0,2.7850607431,46,5.57,0
11832,5,3,7,150,43.5333333333,2,55,28,8,1,0,4.35333333333,2.14612704599,6,5,3,21.4285714286,12.0339655364,10,20,0,18,2,2,0,0,0,0,0,0,1,0,14,0,0,29,8,0,0,7,7,7,0,0,4,2,0,4,11,0,0,0,1,2.87564159387,55,5.53581818182,0.403039224706
11833,5,3,12,170,46.8235294118,13,66,36,15,5,0,4.68235294118,2.41891835921,9,5,1,14.1666666667,9.25412820793,9,22,0,25,4,1,0,0,6,0,2,0,0,0,5,0,0,29,11,16,0,8,3,7,0,1,5,2,2,3,3,1,0,0,4,2.1901500864,72,6.01125,0
11834,5,4,14,212,46.7452830189,5,92,37,15,4,1,4.67452830189,2.25037380026,9,5,4,15.1428571429,10.97957287,13,28,0,27,2,2,0,0,1,0,0,0,0,0,11,1,0,44,13,2,0,8,11,14,0,0,15,2,4,2,5,1,1,0,1,3.0864153827,98,5.58357142857,4.95467214504
11835,5,3,11,158,45.7594936709,15,66,32,17,5,1,4.57594936709,2.51440259914,8,2,1,14.5454545455,7.24083918245,6,13,0,28,1,6,0,0,0,0,1,0,1,0,10,0,0,29,8,14,0,2,11,6,0,0,5,4,3,1,8,2,0,0,1,4.0608936485,49,6.28081632653,8.46486106501
11836,5,3,11,146,41.6438356164,6,48,19,8,0,0,4.16438356164,2.01726136395,6,5,1,13.2727272727,10.8048045634,7,17,0,14,2,5,0,0,1,0,1,0,1,0,6,1,0,23,4,5,0,12,4,8,0,0,10,3,3,7,5,2,1,0,4,2.60081102922,56,5.85196428571,2.97280328703
11837,5,1,2,38,36.0526315789,6,11,3,0,0,0,3.60526315789,1.61980101688,1,1,1,19.0,19.0,2,7,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,8,1,11,0,2,0,1,0,0,0,1,0,0,4,0,0,0,0,0.954227030823,8,5.80125,0.26869281647
